gkey,galaxy_s
CAMB,CamB
D5648,D564-8
D6317,D631-7
DDO154,DDO154
DDO168,DDO168
ESO444084,ESO444-G084
ESO563021,ESO563-G021
F5683,F568-3
F568V1,F568-V1
F5741,F574-1
IC2574,IC2574
IC4202,IC4202
NGC0024,NGC0024
NGC0055,NGC0055
NGC0247,NGC0247
NGC0801,NGC0801
NGC0891,NGC0891
NGC2403,NGC2403
NGC2683,NGC2683
NGC2915,NGC2915
NGC2955,NGC2955
NGC2998,NGC2998
NGC3109,NGC3109
NGC3198,NGC3198
NGC3741,NGC3741
NGC3769,NGC3769
NGC3877,NGC3877
NGC3917,NGC3917
NGC3972,NGC3972
NGC4010,NGC4010
NGC4013,NGC4013
NGC4085,NGC4085
NGC4088,NGC4088
NGC4100,NGC4100
NGC4157,NGC4157
NGC4183,NGC4183
NGC4217,NGC4217
NGC5005,NGC5005
NGC5907,NGC5907
NGC6195,NGC6195
NGC6503,NGC6503
NGC6674,NGC6674
NGC6789,NGC6789
NGC7331,NGC7331
UGC00128,UGC00128
UGC01281,UGC01281
UGC02487,UGC02487
UGC02885,UGC02885
UGC02916,UGC02916
UGC03205,UGC03205
UGC05005,UGC05005
UGC05750,UGC05750
UGC06399,UGC06399
UGC06614,UGC06614
UGC06667,UGC06667
UGC06818,UGC06818
UGC06923,UGC06923
UGC07089,UGC07089
UGC07151,UGC07151
UGC07232,UGC07232
UGC07524,UGC07524
UGC07577,UGC07577
UGC07866,UGC07866
UGC08286,UGC08286
UGC08490,UGC08490
UGC08837,UGC08837
UGC09037,UGC09037
UGC09133,UGC09133
UGC11455,UGC11455
UGC12506,UGC12506
UGCA442,UGCA442
UGCA444,UGCA444
