x_mid,q16,q50,q84,n
0.6469919506178368,0.001664946038098844,0.026161700549333547,0.09622092873108934,341
1.554081338399984,0.0144530848459744,0.046137155012929316,0.0927740096767115,346
2.4611707261821314,0.014567256781541686,0.04327093046099087,0.07327440056147695,258
3.368260113964279,0.020053563221168184,0.044207710115116816,0.06475857855580308,169
4.275349501746426,0.02056088527152714,0.04299038816043379,0.060605033144479126,123
5.182438889528575,0.021570389301213286,0.03362630018807666,0.05599045889069089,86
6.0895282773107215,0.022013692071731646,0.034126198768009514,0.045907108863366373,58
6.996617665092868,0.022442180987559946,0.032106938516643715,0.0547295102211879,68
7.903707052875017,0.023255231148939848,0.03286547693280582,0.05298546061107757,43
8.810796440657164,0.01916061660099578,0.030771228490374572,0.051747902744679025,38
9.71788582843931,0.026069974573334105,0.03327711944713449,0.04770358154319232,25
10.624975216221458,0.023071237844787772,0.03124717900424439,0.045107291107595864,28
11.532064604003606,0.021411776454390293,0.029388860287147538,0.04267322570598524,20
12.439153991785753,,,,18
13.346243379567902,,,,19
14.253332767350049,,,,13
15.160422155132196,,,,12
16.067511542914342,,,,9
16.97460093069649,,,,5
17.88169031847864,,,,8
18.788779706260783,,,,5
19.695869094042934,,,,10
20.60295848182508,,,,3
21.510047869607227,,,,5
