z_mid,q16,q50,q84,n
0.19602828268499467,0.013736482741939872,0.025482622615483064,0.04304198030375468,1068
0.5627486899674675,0.04064026488189647,0.05329056251337384,0.07354760096656768,249
0.9294690972499403,0.048906182843197,0.07592969228304769,0.10062840180234153,133
1.2961895045324132,0.018175281029759714,0.07452441790701832,0.104332803430299,80
1.6629099118148858,0.021856117604231156,0.06547902413188801,0.1433763549108967,48
2.029630319097359,0.025709074114150892,0.0787243641459174,0.1380400272919528,33
2.396350726379832,0.013644715000604792,0.08921503505925936,0.17996336998443324,27
2.7630711336623044,-0.023329342029083107,0.04873956726817266,0.17886169810665548,21
3.129791540944777,,,,9
3.4965119482272495,,,,11
3.8632323555097225,,,,12
4.229952762792195,,,,7
4.596673170074668,,,,8
4.963393577357141,,,,7
5.330113984639613,,,,6
5.696834391922087,,,,4
6.063554799204558,,,,4
6.430275206487032,,,,4
6.7969956137695045,,,,3
7.163716021051977,,,,4
7.5304364283344505,,,,2
7.897156835616923,,,,3
8.263877242899396,,,,1
8.630597650181869,,,,2
