seed,model,waic,delta_waic,p_waic,looic,delta_looic,elpd_loo,p_loo,waic_rank,loo_rank
0,mond,15126.716703048773,69.32614456196279,260.92988858909547,15136.194250809716,61.23309197005256,-7568.097125404858,265.6686624695684,2,2
0,mond-screen,15153.057842836612,95.6672843498036,284.0386634131702,15171.003479592282,96.04232075261824,-7585.501739796141,293.01148179100267,3,3
0,ptq-screen,15323.31096713421,265.9204086474001,306.29795037891705,15351.847646204522,276.8864873648581,-7675.923823102261,320.5662899140716,4,4
7,mond,15081.2909527071,0.0,260.695227962251,15105.493599526852,0.0,-7552.746799763427,272.796551372126,1,1
7,mond-screen,15304.672518892608,223.381566185506,319.19883222959146,15341.799867684846,236.30626815799224,-7670.899933842423,337.76250662570936,3,3
7,ptq-screen,15318.06340446955,236.77245176245012,319.6769370426244,15352.598114080556,247.1045145537028,-7676.299057040278,336.9442918481255,4,4
13,mond,15194.985153912035,105.55912172505124,292.6625178750062,15220.33445627502,114.0324501133182,-7610.167228137509,305.33716905649595,4,4
13,mond-screen,15157.071646856031,67.64561466904524,278.6160049125364,15173.77656184101,67.47455567930956,-7586.888280920505,286.96846240502555,2,2
13,ptq-screen,15175.242752258717,85.81672007172892,294.4916907310508,15189.326073310378,83.0240671486772,-7594.663036655189,301.53335125688056,3,3
